dacs,△Gooh,△Go,△Goh,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B
TiTi,-4.352549006,-4.045310073,-3.157014605,22,22,147,147,187,187,4,4,1.54,1.54,0.07554,0.07554,6.8281,6.8281
TiV,-1.311320719,-1.816933255,-2.364441989,22,23,147,134,187,179,4,5,1.54,1.63,0.07554,0.52766,6.8281,6.7462
TiCr,1.100910428,-1.449305621,-2.119358595,22,24,147,128,187,189,4,6,1.54,1.66,0.07554,0.675928,6.8281,6.7665
TiMn,1.112470277,-1.55793929,-2.054810508,22,25,147,127,187,197,4,7,1.54,1.55,0.07554,-0.5,6.8281,7.434
TiFe,1.243758318,-1.049113834,-1.831259702,22,26,147,126,187,194,4,8,1.54,1.83,0.07554,0.153236,6.8281,7.9024
TiCo,1.232198468,-1.118816016,-1.894472652,22,27,147,125,187,192,4,9,1.54,1.88,0.07554,0.662255,6.8281,7.881
TiNi,0.770269378,-1.882047848,-2.131195628,22,28,147,124,187,184,4,10,1.54,1.91,0.07554,1.157368,6.8281,7.6399
TiCu,0.732022407,-1.747861792,-1.989713976,22,29,147,128,187,186,4,11,1.54,1.9,0.07554,1.23578,6.8281,7.7264
TiZn,1.020212223,-1.153976471,-2.018740306,22,30,147,134,187,210,4,12,1.54,1.65,0.07554,-0.6,6.8281,9.3942
TiZr,-5.069349331,-4.726511168,-4.32977771,22,40,147,160,187,186,4,4,1.54,1.33,0.07554,0.433283,6.8281,6.6339
TiNb,-4.717695345,-3.611794309,-3.325390571,22,41,147,146,187,207,4,5,1.54,1.6,0.07554,0.9174,6.8281,6.7589
TiMo,1.321655,-2.202170644,-2.529049183,22,42,147,139,187,209,4,6,1.54,2.16,0.07554,0.74723,6.8281,7.0924
TiTc,0.997278088,-1.810635092,-2.40132928,22,43,147,136,187,209,4,7,1.54,2.1,0.07554,0.636,6.8281,7.28
TiRu,1.551471047,-1.033167814,-2.020944341,22,44,147,134,187,207,4,8,1.54,2.2,0.07554,1.04627,6.8281,7.3605
TiRh,1.502652674,-0.992568554,-2.092052802,22,45,147,134,187,195,4,9,1.54,2.28,0.07554,1.14289,6.8281,7.4589
TiPd,1.116084464,-0.888302789,-2.12451738,22,46,147,137,187,202,4,10,1.54,2.2,0.07554,0.56214,6.8281,8.3369
TiAg,0.855237498,-2.476484866,-2.311812092,22,47,147,144,187,203,4,11,1.54,1.93,0.07554,1.30447,6.8281,7.5762
TiCd,-3.673814749,-2.914520461,-3.112401699,22,48,147,148.9,187,230,4,12,1.54,1.69,0.07554,-0.7,6.8281,8.9938
TiIn,-4.927665736,-4.17668829,-5.121675101,22,49,147,167,187,236,4,13,1.54,1.78,0.07554,0.38392,6.8281,5.7864
TiSn,-4.681384432,-4.249282894,-5.76525434,22,50,147,151,187,233,4,14,1.54,1.96,0.07554,1.11207,6.8281,7.3439
TiW,1.07178458,-2.241245113,-2.637928023,22,74,147,139,187,210,4,6,1.54,1.7,0.07554,0.8165,6.8281,7.864
TiRe,1.083344429,-1.602107215,-2.391761019,22,75,147,137,187,217,4,7,1.54,1.9,0.07554,0.060396,6.8281,7.8335
TiOs,1.625977539,-0.743722354,-2.083512418,22,76,147,135,187,216,4,8,1.54,2.2,0.07554,1.077661,6.8281,8.4382
TiIr,1.603376886,-0.725386553,-2.001989533,22,77,147,135.5,187,202,4,9,1.54,2.2,0.07554,1.564057,6.8281,8.967
TiPt,1.267042231,-1.274917344,-2.11275345,22,78,147,138.5,187,209,4,10,1.54,2.2,0.07554,2.1251,6.8281,8.9588
TiAu,1.288243211,-2.018812387,-2.440967559,22,79,147,144,187,217,4,11,1.54,2.4,0.07554,2.30861,6.8281,9.2255
TiBi,-4.60687794,-4.262869072,-5.76525434,22,83,147,154.7,187,243,4,15,1.54,1.9,0.07554,0.942362,6.8281,7.2855
VTi,-2.278140383,-3.112238355,-2.08876765,23,22,134,147,179,187,5,4,1.63,1.54,0.52766,0.07554,6.7462,6.8281
VV,0.02841434,-1.51360301,-1.296195034,23,23,134,134,179,179,5,5,1.63,1.63,0.52766,0.52766,6.7462,6.7462
VCr,2.050955153,-1.253081883,-1.051111639,23,24,134,128,179,189,5,6,1.63,1.66,0.52766,0.675928,6.7462,6.7665
VMn,2.062515002,-1.148467903,-0.986563552,23,25,134,127,179,197,5,7,1.63,1.55,0.52766,-0.5,6.7462,7.434
