dacs,△G*oh,Z1,Z2,r1,r2,R1,R2,N1,N2,EP1,EP2,EA1,EA2,IE1,IE2
RhFe,1.75982645,45,26,134.0,126.0,195,194,9,8,2.28,1.83,1.14289,0.153236,7.4589,7.9024
PdRh,1.76984145,46,45,137.0,134.0,202,195,10,9,2.2,2.28,0.56214,1.14289,8.3369,7.4589
SnAu,-3.02158855,50,79,151.0,144.0,233,217,14,11,1.96,2.4,1.11207,2.30861,7.3439,9.2255
PdAu,1.76321145,46,79,137.0,144.0,202,217,10,11,2.2,2.4,0.56214,2.30861,8.3369,9.2255
WNi,-1.55903155,74,28,139.0,124.0,210,184,6,10,1.7,1.91,0.8165,1.157368,7.864,7.6399
WTi,-2.42052055,74,22,139.0,147.0,210,187,6,4,1.7,1.54,0.8165,0.07554,7.864,6.8281
NiPt,1.76382445,28,78,124.0,138.5,184,209,10,10,1.91,2.2,1.157368,2.1251,7.6399,8.9588
VCd,-2.01579955,23,48,134.0,148.9,179,230,5,12,1.63,1.69,0.52766,-0.7,6.7462,8.9938
ZnMn,0.34569145,30,25,134.0,127.0,210,197,12,7,1.65,1.55,-0.6,-0.5,9.3942,7.434
IrIr,1.78338945,77,77,135.5,135.5,202,202,9,9,2.2,2.2,1.564057,1.564057,8.967,8.967
NiRh,1.68567145,28,45,124.0,134.0,184,195,10,9,1.91,2.28,1.157368,1.14289,7.6399,7.4589
ZnAg,0.15057145,30,47,134.0,144.0,210,203,12,11,1.65,1.93,-0.6,1.30447,9.3942,7.5762
PtRh,1.74612645,78,45,138.5,134.0,209,195,10,9,2.2,2.28,2.1251,1.14289,8.9588,7.4589
TiIr,-1.73599655,22,77,147.0,135.5,187,202,4,9,1.54,2.2,0.07554,1.564057,6.8281,8.967
CoPd,1.40872245,27,46,125.0,137.0,192,202,9,10,1.88,2.2,0.662255,0.56214,7.881,8.3369
RhPd,1.11277245,45,46,134.0,137.0,195,202,9,10,2.28,2.2,1.14289,0.56214,7.4589,8.3369
PtAu,1.79577045,78,79,138.5,144.0,209,217,10,11,2.2,2.4,2.1251,2.30861,8.9588,9.2255
PtFe,2.09148445,78,26,138.5,126.0,209,194,10,8,2.2,1.83,2.1251,0.153236,8.9588,7.9024
CuIr,0.83763145,29,77,128.0,135.5,186,202,11,9,1.9,2.2,1.23578,1.564057,7.7264,8.967
AgCu,1.80674345,47,29,144.0,128.0,203,186,11,11,1.93,1.9,1.30447,1.23578,7.5762,7.7264
ReMo,-0.84273055,75,42,137.0,139.0,217,209,7,6,1.9,2.16,0.060396,0.74723,7.8335,7.0924
NbCd,-3.81294255,41,48,146.0,148.9,207,230,5,12,1.6,1.69,0.9174,-0.7,6.7589,8.9938
RhZn,0.83911845,45,30,134.0,134.0,195,210,9,12,2.28,1.65,1.14289,-0.6,7.4589,9.3942
CuFe,1.75538545,29,26,128.0,126.0,186,194,11,8,1.9,1.83,1.23578,0.153236,7.7264,7.9024
RuRu,0.80733345,44,44,134.0,134.0,207,207,8,8,2.2,2.2,1.04627,1.04627,7.3605,7.3605
SnZr,-4.00015455,50,40,151.0,160.0,233,186,14,4,1.96,1.33,1.11207,0.433283,7.3439,6.6339
RuAg,0.43357845,44,47,134.0,144.0,207,203,8,11,2.2,1.93,1.04627,1.30447,7.3605,7.5762
ReW,-0.89563555,75,74,137.0,139.0,217,210,7,6,1.9,1.7,0.060396,0.8165,7.8335,7.864
FePt,0.77596145,26,78,126.0,138.5,194,209,8,10,1.83,2.2,0.153236,2.1251,7.9024,8.9588
NbCu,-2.68464755,41,29,146.0,128.0,207,186,5,11,1.6,1.9,0.9174,1.23578,6.7589,7.7264
SnPd,-1.96445255,50,46,151.0,137.0,233,202,14,10,1.96,2.2,1.11207,0.56214,7.3439,8.3369
TcZr,-2.56482255,43,40,136.0,160.0,209,186,7,4,2.1,1.33,0.636,0.433283,7.28,6.6339
ZrTi,-4.56854855,40,22,160.0,147.0,186,187,4,4,1.33,1.54,0.433283,0.07554,6.6339,6.8281
CdZn,-0.89537355,48,30,148.9,134.0,230,210,12,12,1.69,1.65,-0.7,-0.6,8.9938,9.3942
RePt,-0.07684755,75,78,137.0,138.5,217,209,7,10,1.9,2.2,0.060396,2.1251,7.8335,8.9588
